release_month,english,developer,publisher,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
Nov,1,Valve,Valve,0,0,124534,3339,17612,317,10000000-20000000,7.19
Apr,1,Valve,Valve,0,0,3318,633,277,62,5000000-10000000,3.99
May,1,Valve,Valve,0,0,3416,398,187,34,5000000-10000000,3.99
Jun,1,Valve,Valve,0,0,1273,267,258,184,5000000-10000000,3.99
Nov,1,Gearbox Software,Valve,0,0,5250,288,624,415,5000000-10000000,3.99
Nov,1,Valve,Valve,0,0,2758,684,175,10,5000000-10000000,3.99
Nov,1,Valve,Valve,0,0,27755,1100,1300,83,5000000-10000000,7.19
Mar,1,Valve,Valve,0,0,12120,1439,427,43,10000000-20000000,7.19
Jun,1,Gearbox Software,Valve,0,0,3822,420,361,205,5000000-10000000,3.99
Nov,1,Valve,Valve,0,33,67902,2419,691,402,10000000-20000000,7.19
Nov,1,Valve,Valve,0,147,76640,3497,6842,400,10000000-20000000,7.19
Jun,1,Valve,Valve,0,0,3767,1053,190,214,2000000-5000000,0
Jul,1,Valve,Valve,0,54,10489,1210,1356,134,5000000-10000000,7.19
Nov,1,Valve,Valve,0,0,6020,787,311,32,10000000-20000000,3.99
Oct,1,Valve,Valve,0,0,5783,1020,46,29,10000000-20000000,0
May,1,Valve,Valve,0,0,1362,473,102,81,5000000-10000000,0
Jun,1,Valve,Valve,0,13,7908,517,281,184,5000000-10000000,5.79
Oct,1,Valve,Valve,0,15,51801,1080,288,137,10000000-20000000,7.19
Oct,1,Valve,Valve,0,22,13902,696,354,301,5000000-10000000,5.79
Oct,1,Valve,Valve,0,520,515879,34036,8495,623,20000000-50000000,0
Nov,1,Valve,Valve,0,73,17951,948,897,278,5000000-10000000,7.19
Nov,1,Valve,Valve,0,70,251789,8418,1615,566,10000000-20000000,7.19
Jul,1,Valve,Valve,0,0,863507,142079,23944,801,100000000-200000000,0
Apr,1,Valve,Valve,0,51,138220,1891,1102,520,10000000-20000000,7.19
Jul,1,Valve,Valve,0,66,17435,941,371,83,2000000-5000000,0
Aug,1,Valve;Hidden Path Entertainment,Valve,0,167,2644404,402313,22494,6502,50000000-100000000,0
Mar,1,Tripwire Interactive,Tripwire Interactive,0,44,1562,223,232,258,500000-1000000,3.99
May,1,Tripwire Interactive,Tripwire Interactive,0,285,53710,2649,1328,306,2000000-5000000,14.99
Jul,1,Introversion Software,Introversion Software,0,0,472,158,182,273,500000-1000000,7.19
Aug,1,Introversion Software,Introversion Software,0,0,1602,152,65,77,500000-1000000,6.99
Sep,1,Introversion Software,Introversion Software,0,22,2057,344,80,119,500000-1000000,7.19
Sep,1,Introversion Software,Introversion Software,0,12,368,75,121,224,500000-1000000,7.19
Jul,1,Strategy First,Strategy First,0,0,490,152,9,12,100000-200000,4.99
Oct,1,Malfador Machinations,Strategy First,0,0,191,85,35,35,50000-100000,10.99
Apr,1,Arkane Studios,Arkane Studios,0,0,671,106,11,21,100000-200000,2.99
Jul,1,Valve,Valve,0,0,15083,1111,239,77,1000000-2000000,0
Apr,1,Reality Pump Studios,Topware Interactive;ACE,0,0,498,238,405,414,1000000-2000000,3.99
Apr,1,Reality Pump Studios,Topware Interactive,0,0,2656,1055,484,422,1000000-2000000,6.99
Oct,1,Arkane Studios,Ubisoft,0,0,4386,316,634,700,1000000-2000000,4.29
Aug,1,id Software,id Software,0,0,1362,66,123,103,200000-500000,12.99
Aug,1,RavenSoft / id Software,Bethesda Softworks,18,0,891,171,36,32,200000-500000,12.99
Aug,1,id Software,Bethesda-Softworks,0,0,1773,87,69,110,200000-500000,2.99
Aug,1,id Software,id Software,0,0,3705,257,125,179,500000-1000000,3.99
Aug,1,id Software,id Software,0,0,573,82,120,114,200000-500000,3.99
Aug,1,id Software,id Software,0,0,2517,182,90,78,500000-1000000,3.99
Aug,1,id Software,id Software,0,0,2618,136,167,189,200000-500000,3.99
Aug,1,id Software,id Software,0,0,1369,107,291,349,200000-500000,3.99
Aug,1,Xatrix Entertainment,id Software,0,0,65,12,32,32,200000-500000,2.49
Aug,1,Rogue Entertainment,id Software,0,0,54,33,1,1,200000-500000,2.49
Aug,1,Raven Software,id Software,0,0,249,26,50,50,200000-500000,2.99
Jul,1,Outerlight Ltd.,Blazing Griffin Ltd.,0,0,4819,792,233,239,1000000-2000000,0
Oct,1,Outerlight Ltd.,Ubisoft,0,12,662,204,193,193,100000-200000,4.29
May,1,Frozenbyte,Frozenbyte,0,0,973,248,186,258,500000-1000000,3.99
Mar,1,Troika Games,Activision,0,0,6161,362,350,202,500000-1000000,14.99
Oct,1,Neversoft,Activision,0,0,740,87,462,889,50000-100000,9.99
Oct,1,Infinity Ward,Activision,0,0,1555,117,545,849,200000-500000,14.99
Oct,1,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),0,0,2434,236,750,1041,200000-500000,14.99
Jul,1,Egosoft,Egosoft,0,0,212,50,732,732,200000-500000,4.99
Jul,1,Egosoft,Egosoft,0,0,282,113,831,1232,200000-500000,9.99
Oct,1,Egosoft,Egosoft,0,33,1633,272,972,1273,500000-1000000,15.99
Oct,1,Egosoft,Egosoft,0,0,142,48,648,648,200000-500000,3.49
Oct,1,Egosoft,Egosoft,0,0,57,18,13,13,20000-50000,3.49
Nov,1,Egosoft,Egosoft,0,69,2832,4032,1744,3386,200000-500000,24.99
Dec,1,Bugbear Entertainment,Strategy First,0,0,5438,343,293,351,500000-1000000,5.99
Aug,1,Techland,Techland,0,0,139,39,939,939,20000-50000,3.99
Nov,1,Techland,Techland Publishing,0,0,793,198,46,60,100000-200000,8.59
Nov,1,Katauri Interactive,1C Entertainment,0,0,482,53,1422,1429,200000-500000,7.99
Aug,1,Kheops Studio,HandyGames,0,0,256,172,1,1,50000-100000,4.49
Oct,1,Mindware Studios,THQ Nordic,0,0,429,137,270,270,200000-500000,4.49
Aug,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,0,437,37,267,267,100000-200000,4.25
Mar,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,0,1106,66,214,254,200000-500000,4.25
Sep,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,0,707,58,1,1,200000-500000,0
Oct,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,0,368,24,237,237,200000-500000,4.25
May,1,"PopCap Games, Inc.","PopCap Games, Inc.",0,21,14630,454,480,374,1000000-2000000,4.25
Jul,1,Rebellion,Rebellion,0,0,1181,377,262,371,500000-1000000,5.59
Mar,1,Rebellion,Rebellion,0,0,559,79,8,8,50000-100000,5.59
Jun,1,Elixir Studios,Rebellion,0,0,1847,95,287,318,200000-500000,6.99
Jan,1,Rebellion,Rebellion,0,0,1434,219,20,24,200000-500000,3.99
Sep,1,Terminal Reality,Majesco Entertainment,0,0,369,110,111,111,50000-100000,6.99
Sep,1,Terminal Reality,Majesco Entertainment,0,0,259,103,771,771,50000-100000,6.99
Oct,1,Double Fine Productions,Double Fine Productions,0,37,8204,456,491,232,2000000-5000000,6.99
Oct,1,Firaxis Games,2K,0,0,1394,129,49,64,1000000-2000000,9.99
Oct,1,Firaxis Games,2K,0,0,2578,405,1166,13,2000000-5000000,2.99
Jul,1,Firaxis Games,2K,0,0,2641,193,296,436,500000-1000000,5.99
Nov,1,Facepunch Studios,Valve,0,29,363721,16433,12422,1875,10000000-20000000,6.99
Nov,1,Naked Sky Entertainment,Naked Sky Entertainment,0,0,43,14,78,78,20000-50000,5.99
Mar,1,GSC Game World,GSC Game World,0,0,11039,570,493,360,1000000-2000000,9.99
Jul,1,Pandemic Studios,THQ Nordic,0,0,106,60,124,244,100000-200000,7.99
Jul,1,Pandemic Studios,THQ Nordic,0,0,76,38,1,1,100000-200000,4.99
Jul,1,Relic Entertainment,SEGA,18,0,4772,320,175,186,2000000-5000000,0
Aug,1,Relic Entertainment,SEGA,16,0,3485,206,309,340,1000000-2000000,9.99
Aug,1,Relic Entertainment,SEGA,16,0,2849,133,543,620,1000000-2000000,9.99
Nov,1,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),0,0,10270,605,469,361,2000000-5000000,0
Oct,1,Monolith,SEGA,18,0,1243,221,312,312,200000-500000,9.99
Aug,1,CREATIVE ASSEMBLY,SEGA,0,0,7806,562,897,1192,1000000-2000000,8.99
Aug,1,The Creative Assembly,SEGA,0,0,331,131,33,33,500000-1000000,8.99
Sep,1,GSC Game World,GSC World Publishing,0,0,1081,143,1134,1208,100000-200000,3.99
Aug,1,GSC Game World,GSC World Publishing,0,0,170,66,1,1,100000-200000,3.99
Aug,1,GSC Game World,GSC World Publishing,0,0,246,138,71,71,100000-200000,3.99
Oct,1,Unknown Worlds Entertainment,Unknown Worlds Entertainment,0,67,8372,1498,627,253,1000000-2000000,6.99
Jul,1,LucasArts,LucasArts;Lucasfilm;Disney Interactive,0,0,6392,379,369,265,1000000-2000000,7.19
Jul,1,LucasArts,LucasArts;Lucasfilm;Disney Interactive,0,0,597,31,419,804,100000-200000,4.79
Sep,1,Raven Software;Aspyr (Mac),LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive,0,0,5684,330,1254,174,1000000-2000000,7.19
Sep,1,Raven Software;Aspyr (Mac),LucasArts;Aspyr (Mac);Lucasfilm;Disney Interactive,0,0,2020,219,127,180,1000000-2000000,7.19
Jul,1,LucasArts,LucasArts,0,0,575,55,801,801,100000-200000,4.79
Jul,1,Pandemic Studios,Lucasfilm;LucasArts;Disney Interactive,0,0,29149,2425,618,320,2000000-5000000,7.19
Jul,1,Frontier,LucasArts,0,0,272,38,17,17,20000-50000,7.19
Jul,1,Planet Moon Studios,LucasArts;Lucasfilm;Disney Interactive,0,0,115,18,100,100,20000-50000,4.79
Oct,1,Klei Entertainment,Klei Entertainment,0,12,1749,227,255,363,200000-500000,7.19
Dec,1,Sick Puppies,Strategy First,0,0,1025,164,21,21,100000-200000,3.99
Feb,1,Bugbear Entertainment,Strategy First,0,0,1977,186,78,96,200000-500000,4.99
Jan,1,Funcom,Funcom,0,0,588,89,20,20,100000-200000,13.99
May,1,Funcom,Funcom,0,0,1152,102,14,19,200000-500000,5.99
Oct,1,Stunlock Studios,Stunlock Studios,0,0,1365,226,70,102,500000-1000000,0
Jun,1,"CAPCOM Co., Ltd.",Capcom,0,0,569,178,74,74,200000-500000,9.99
Jun,1,"CAPCOM Co., Ltd.",Capcom,0,0,1462,1052,90,90,200000-500000,15.99
Mar,1,Pyro Studios,Kalypso Media Digital,0,0,1561,213,63,70,500000-1000000,3.99
Mar,1,Pyro Studios,Kalypso Media Digital,0,0,404,71,12,14,500000-1000000,3.99
Mar,1,Pyro Studios,Kalypso Media Digital,0,0,1333,238,201,302,500000-1000000,3.99
Mar,1,Pyro Studios,Kalypso Media Digital,0,0,421,265,14,20,500000-1000000,3.99
Mar,1,Io-Interactive A/S,Io-Interactive A/S,16,0,1514,260,63,58,1000000-2000000,8.29
Mar,1,Io-Interactive A/S,Io-Interactive A/S,18,0,5864,391,435,365,1000000-2000000,9.29
Mar,1,Avalanche Studios,Square Enix,16,0,1732,846,20,25,1000000-2000000,4.99
Mar,1,IO Interactive A/S,IO Interactive A/S,18,0,1186,450,62,43,1000000-2000000,7.19
Mar,1,Ion Storm,Square Enix,16,0,6242,347,324,245,1000000-2000000,4.99
Mar,1,Ion Storm,Square Enix,16,0,649,433,24,31,500000-1000000,4.99
Mar,1,Ion Storm,Square Enix,0,0,1135,210,254,368,500000-1000000,6.99
Mar,1,Crystal Dynamics,Square Enix,16,0,1656,243,714,725,500000-1000000,4.99
Apr,1,Nadeo,Ubisoft,0,0,963,55,4774,4774,100000-200000,25.99
Mar,1,Pendulo Studios,Focus Home Interactive,0,0,236,90,14,14,100000-200000,6.99
Apr,1,Gaijin Entertainment,Topware Interactive,0,0,1566,981,313,341,500000-1000000,6.99
Feb,1,Reality Pump Studios,"Topware Interactive, ACE",0,61,3054,2051,327,403,500000-1000000,14.99
Jun,1,Reality Pump Studios,Topware Interactive,0,0,153,194,320,330,200000-500000,6.99
May,1,Firaxis Games;Feral Interactive (Mac),2K;Feral Interactive (Mac),0,0,1114,570,165,253,500000-1000000,5.99
May,1,PopTop,2K,0,0,355,153,46,46,200000-500000,5.99
May,1,PopTop,2K,0,0,420,82,1244,1261,200000-500000,2.99
May,1,"MicroProse Software, Inc",2K,0,0,385,32,66,82,500000-1000000,2.99
Sep,1,"MicroProse Software, Inc",2K,0,0,417,53,18,18,500000-1000000,2.99
Sep,1,"MicroProse Software, Inc",2K,0,0,2165,136,2235,2224,1000000-2000000,2.99
May,1,The Farm 51,1C Entertainment,0,0,539,270,113,113,100000-200000,3.99
Nov,1,Infinity Ward;Aspyr (Mac),Activision;Aspyr (Mac),0,0,8725,821,1417,1503,1000000-2000000,19.99
Jun,1,Crystal Dynamics;Feral Interactive (Mac),Square Enix;Feral Interactive (Mac),16,0,1964,389,239,280,500000-1000000,6.99
Dec,1,IO Interactive,Square Enix,0,0,1223,724,209,209,200000-500000,4.99
Nov,1,Crystal Dynamics,Square Enix,16,0,1779,594,313,565,500000-1000000,6.99
May,1,Eidos Studio Hungary,Square Enix,0,0,1028,542,132,132,200000-500000,6.99
Mar,1,Avalanche Studios,Square Enix,18,50,33636,3231,519,272,2000000-5000000,9.99
Jun,1,Bizarre Creations,Activision,0,0,583,62,109,109,100000-200000,2.99
Dec,1,CCP,CCP,0,0,8317,2832,5123,230,1000000-2000000,0
Oct,1,SimBin,SimBin,0,0,1684,348,1636,218,1000000-2000000,2.49
Jul,1,Firaxis Games,2K,0,0,1396,66,108,108,1000000-2000000,5.99
Mar,1,Irrational Games;Aspyr (Mac);Virtual Programming (Linux),2K;Aspyr (Mac),18,80,79442,3846,614,519,2000000-5000000,19.99
May,1,Irrational Games,2K,0,0,197,150,16,16,200000-500000,2.99
May,1,Irrational Games,2K,0,0,121,28,23,23,200000-500000,2.99
Sep,1,Firaxis Games;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),0,286,129030,5565,4760,1797,5000000-10000000,19.99
Aug,1,Gray Matter Studios,Bethesda-Softworks,0,0,3084,276,32,48,200000-500000,3.99
Aug,1,Rogue Entertainment,id Software,0,0,143,15,88,91,200000-500000,2.49
Aug,1,Ritual Entertainment,id Software,0,0,205,13,129,152,200000-500000,2.49
Aug,1,id Software,id Software,0,0,2633,376,362,394,200000-500000,0
Aug,1,Raven Software,id Software,0,0,173,39,10,10,200000-500000,2.99
Aug,1,id Software,id Software,0,0,310,69,7,12,500000-1000000,0
Aug,1,id Software,id Software,0,0,737,51,145,145,200000-500000,2.99
Oct,1,id Software,Bethesda Softworks,16,60,9394,2882,559,392,1000000-2000000,7.99
Aug,1,Relic Entertainment,SEGA,16,0,606,76,213,365,500000-1000000,9.99
Sep,1,Relic Entertainment,SEGA,0,0,579,52,79,106,2000000-5000000,9.99
